"location","hits","keyword","geo","gprop"
"Jharkhand",100,"digital india","IN","web"
"Daman and Diu",96,"digital india","IN","web"
"Arunachal Pradesh",91,"digital india","IN","web"
"Haryana",90,"digital india","IN","web"
"Uttarakhand",89,"digital india","IN","web"
"Mizoram",88,"digital india","IN","web"
"Chhattisgarh",87,"digital india","IN","web"
"Tripura",86,"digital india","IN","web"
"Meghalaya",85,"digital india","IN","web"
"Sikkim",84,"digital india","IN","web"
"Odisha",82,"digital india","IN","web"
"Andhra Pradesh",80,"digital india","IN","web"
"Puducherry",75,"digital india","IN","web"
"Karnataka",75,"digital india","IN","web"
"West Bengal",73,"digital india","IN","web"
"Delhi",73,"digital india","IN","web"
"Gujarat",68,"digital india","IN","web"
"Maharashtra",67,"digital india","IN","web"
"Tamil Nadu",67,"digital india","IN","web"
"Goa",65,"digital india","IN","web"
"Uttar Pradesh",65,"digital india","IN","web"
"Himachal Pradesh",63,"digital india","IN","web"
"Assam",62,"digital india","IN","web"
"Madhya Pradesh",60,"digital india","IN","web"
"Kerala",59,"digital india","IN","web"
"Punjab",58,"digital india","IN","web"
"Bihar",58,"digital india","IN","web"
"Rajasthan",55,"digital india","IN","web"
"Telangana",55,"digital india","IN","web"
"Jammu and Kashmir",54,"digital india","IN","web"
"Manipur",51,"digital india","IN","web"
"Chandigarh",45,"digital india","IN","web"
"Andaman and Nicobar Islands",30,"digital india","IN","web"
"Dadra and Nagar Haveli",NA,"digital india","IN","web"
"Nagaland",NA,"digital india","IN","web"
"Lakshadweep",NA,"digital india","IN","web"
"Haryana",100,"digitalization","IN","web"
"Jharkhand",98,"digitalization","IN","web"
"Telangana",77,"digitalization","IN","web"
"Karnataka",71,"digitalization","IN","web"
"Odisha",62,"digitalization","IN","web"
"Andhra Pradesh",57,"digitalization","IN","web"
"Jammu and Kashmir",56,"digitalization","IN","web"
"Uttar Pradesh",56,"digitalization","IN","web"
"Tamil Nadu",53,"digitalization","IN","web"
"Maharashtra",52,"digitalization","IN","web"
"Punjab",51,"digitalization","IN","web"
"Kerala",48,"digitalization","IN","web"
"Delhi",46,"digitalization","IN","web"
"Gujarat",42,"digitalization","IN","web"
"West Bengal",41,"digitalization","IN","web"
"Rajasthan",41,"digitalization","IN","web"
"Madhya Pradesh",36,"digitalization","IN","web"
"Assam",29,"digitalization","IN","web"
"Bihar",27,"digitalization","IN","web"
"Chandigarh",26,"digitalization","IN","web"
"Dadra and Nagar Haveli",NA,"digitalization","IN","web"
"Mizoram",NA,"digitalization","IN","web"
"Meghalaya",NA,"digitalization","IN","web"
"Puducherry",NA,"digitalization","IN","web"
"Manipur",NA,"digitalization","IN","web"
"Tripura",NA,"digitalization","IN","web"
"Uttarakhand",NA,"digitalization","IN","web"
"Chhattisgarh",NA,"digitalization","IN","web"
"Goa",NA,"digitalization","IN","web"
"Himachal Pradesh",NA,"digitalization","IN","web"
"Andaman and Nicobar Islands",NA,"digitalization","IN","web"
"Arunachal Pradesh",NA,"digitalization","IN","web"
"Daman and Diu",NA,"digitalization","IN","web"
"Lakshadweep",NA,"digitalization","IN","web"
"Nagaland",NA,"digitalization","IN","web"
"Sikkim",NA,"digitalization","IN","web"
"Goa",100,"make in india","IN","web"
"Uttarakhand",93,"make in india","IN","web"
"Arunachal Pradesh",91,"make in india","IN","web"
"Haryana",81,"make in india","IN","web"
"Meghalaya",81,"make in india","IN","web"
"Sikkim",78,"make in india","IN","web"
"Nagaland",78,"make in india","IN","web"
"Jharkhand",76,"make in india","IN","web"
"Tripura",71,"make in india","IN","web"
"Delhi",69,"make in india","IN","web"
"Chhattisgarh",68,"make in india","IN","web"
"Punjab",67,"make in india","IN","web"
"Mizoram",66,"make in india","IN","web"
"Himachal Pradesh",65,"make in india","IN","web"
"Maharashtra",62,"make in india","IN","web"
"Karnataka",61,"make in india","IN","web"
"Puducherry",60,"make in india","IN","web"
"Odisha",59,"make in india","IN","web"
"Gujarat",57,"make in india","IN","web"
"Uttar Pradesh",57,"make in india","IN","web"
"Jammu and Kashmir",57,"make in india","IN","web"
"Chandigarh",56,"make in india","IN","web"
"West Bengal",51,"make in india","IN","web"
"Kerala",49,"make in india","IN","web"
"Assam",47,"make in india","IN","web"
"Andhra Pradesh",47,"make in india","IN","web"
"Manipur",47,"make in india","IN","web"
"Madhya Pradesh",47,"make in india","IN","web"
"Rajasthan",45,"make in india","IN","web"
"Tamil Nadu",45,"make in india","IN","web"
"Andaman and Nicobar Islands",38,"make in india","IN","web"
"Bihar",36,"make in india","IN","web"
"Telangana",34,"make in india","IN","web"
"Daman and Diu",NA,"make in india","IN","web"
"Dadra and Nagar Haveli",NA,"make in india","IN","web"
"Lakshadweep",NA,"make in india","IN","web"
"Bihar",100,"pmkvy","IN","web"
"Uttar Pradesh",99,"pmkvy","IN","web"
"Madhya Pradesh",97,"pmkvy","IN","web"
"Haryana",96,"pmkvy","IN","web"
"Tripura",93,"pmkvy","IN","web"
"Uttarakhand",92,"pmkvy","IN","web"
"Rajasthan",91,"pmkvy","IN","web"
"Jammu and Kashmir",87,"pmkvy","IN","web"
"Jharkhand",82,"pmkvy","IN","web"
"Odisha",79,"pmkvy","IN","web"
"Chhattisgarh",78,"pmkvy","IN","web"
"Assam",72,"pmkvy","IN","web"
"Himachal Pradesh",71,"pmkvy","IN","web"
"Manipur",64,"pmkvy","IN","web"
"West Bengal",58,"pmkvy","IN","web"
"Punjab",57,"pmkvy","IN","web"
"Delhi",46,"pmkvy","IN","web"
"Telangana",42,"pmkvy","IN","web"
"Chandigarh",39,"pmkvy","IN","web"
"Puducherry",34,"pmkvy","IN","web"
"Andhra Pradesh",26,"pmkvy","IN","web"
"Gujarat",25,"pmkvy","IN","web"
"Kerala",21,"pmkvy","IN","web"
"Tamil Nadu",20,"pmkvy","IN","web"
"Karnataka",16,"pmkvy","IN","web"
"Maharashtra",15,"pmkvy","IN","web"
"Nagaland",NA,"pmkvy","IN","web"
