"date","hits","keyword","geo","gprop","category"
2004-01-01,"98","digital india","IN","web",0
2004-02-01,"85","digital india","IN","web",0
2004-03-01,"77","digital india","IN","web",0
2004-04-01,"91","digital india","IN","web",0
2004-05-01,"50","digital india","IN","web",0
2004-06-01,"67","digital india","IN","web",0
2004-07-01,"62","digital india","IN","web",0
2004-08-01,"65","digital india","IN","web",0
2004-09-01,"85","digital india","IN","web",0
2004-10-01,"76","digital india","IN","web",0
2004-11-01,"73","digital india","IN","web",0
2004-12-01,"76","digital india","IN","web",0
2005-01-01,"57","digital india","IN","web",0
2005-02-01,"70","digital india","IN","web",0
2005-03-01,"70","digital india","IN","web",0
2005-04-01,"59","digital india","IN","web",0
2005-05-01,"61","digital india","IN","web",0
2005-06-01,"60","digital india","IN","web",0
2005-07-01,"64","digital india","IN","web",0
2005-08-01,"64","digital india","IN","web",0
2005-09-01,"54","digital india","IN","web",0
2005-10-01,"63","digital india","IN","web",0
2005-11-01,"58","digital india","IN","web",0
2005-12-01,"75","digital india","IN","web",0
2006-01-01,"63","digital india","IN","web",0
2006-02-01,"65","digital india","IN","web",0
2006-03-01,"57","digital india","IN","web",0
2006-04-01,"70","digital india","IN","web",0
2006-05-01,"59","digital india","IN","web",0
2006-06-01,"58","digital india","IN","web",0
2006-07-01,"51","digital india","IN","web",0
2006-08-01,"58","digital india","IN","web",0
2006-09-01,"55","digital india","IN","web",0
2006-10-01,"63","digital india","IN","web",0
2006-11-01,"58","digital india","IN","web",0
2006-12-01,"55","digital india","IN","web",0
2007-01-01,"60","digital india","IN","web",0
2007-02-01,"46","digital india","IN","web",0
2007-03-01,"53","digital india","IN","web",0
2007-04-01,"49","digital india","IN","web",0
2007-05-01,"55","digital india","IN","web",0
2007-06-01,"47","digital india","IN","web",0
2007-07-01,"51","digital india","IN","web",0
2007-08-01,"52","digital india","IN","web",0
2007-09-01,"51","digital india","IN","web",0
2007-10-01,"56","digital india","IN","web",0
2007-11-01,"54","digital india","IN","web",0
2007-12-01,"56","digital india","IN","web",0
2008-01-01,"50","digital india","IN","web",0
2008-02-01,"44","digital india","IN","web",0
2008-03-01,"49","digital india","IN","web",0
2008-04-01,"48","digital india","IN","web",0
2008-05-01,"47","digital india","IN","web",0
2008-06-01,"47","digital india","IN","web",0
2008-07-01,"46","digital india","IN","web",0
2008-08-01,"46","digital india","IN","web",0
2008-09-01,"49","digital india","IN","web",0
2008-10-01,"59","digital india","IN","web",0
2008-11-01,"51","digital india","IN","web",0
2008-12-01,"53","digital india","IN","web",0
2009-01-01,"48","digital india","IN","web",0
2009-02-01,"50","digital india","IN","web",0
2009-03-01,"43","digital india","IN","web",0
2009-04-01,"63","digital india","IN","web",0
2009-05-01,"70","digital india","IN","web",0
2009-06-01,"63","digital india","IN","web",0
2009-07-01,"66","digital india","IN","web",0
2009-08-01,"68","digital india","IN","web",0
2009-09-01,"86","digital india","IN","web",0
2009-10-01,"100","digital india","IN","web",0
2009-11-01,"79","digital india","IN","web",0
2009-12-01,"85","digital india","IN","web",0
2010-01-01,"96","digital india","IN","web",0
2010-02-01,"85","digital india","IN","web",0
2010-03-01,"84","digital india","IN","web",0
2010-04-01,"85","digital india","IN","web",0
2010-05-01,"93","digital india","IN","web",0
2010-06-01,"79","digital india","IN","web",0
2010-07-01,"70","digital india","IN","web",0
2010-08-01,"76","digital india","IN","web",0
2010-09-01,"76","digital india","IN","web",0
2010-10-01,"98","digital india","IN","web",0
2010-11-01,"86","digital india","IN","web",0
2010-12-01,"75","digital india","IN","web",0
2011-01-01,"59","digital india","IN","web",0
2011-02-01,"57","digital india","IN","web",0
2011-03-01,"55","digital india","IN","web",0
2011-04-01,"58","digital india","IN","web",0
2011-05-01,"54","digital india","IN","web",0
2011-06-01,"54","digital india","IN","web",0
2011-07-01,"52","digital india","IN","web",0
2011-08-01,"54","digital india","IN","web",0
2011-09-01,"53","digital india","IN","web",0
2011-10-01,"60","digital india","IN","web",0
2011-11-01,"42","digital india","IN","web",0
2011-12-01,"39","digital india","IN","web",0
2012-01-01,"40","digital india","IN","web",0
2012-02-01,"36","digital india","IN","web",0
2012-03-01,"33","digital india","IN","web",0
